105年07月12日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
="0053",元大電子,"34,000",19,"987,750",28.99,29.11,28.99,29.02,＋,0.10,29.05,8,29.09,8,0.00
="0054",元大台商50,"7,000",6,"146,200",20.82,20.92,20.82,20.92,＋,0.12,20.94,8,20.95,1,0.00
="0055",元大MSCI金融,"277,000",89,"3,528,690",12.71,12.77,12.70,12.77,＋,0.12,12.74,1,12.77,5,0.00
="0056",元大高股息,"5,162,279","1,360","121,188,568",23.41,23.58,23.37,23.43,＋,0.01,23.43,1,23.44,268,0.00
="0057",FB摩台,"29,000",7,"1,195,590",41.16,41.36,41.14,41.27,＋,0.16,41.31,20,41.40,1,0.00
="0058",FB發達,"1,000",1,"37,680",37.68,37.68,37.68,37.68,＋,0.29,37.49,10,37.75,10,0.00
="0059",FB金融,"1,000",1,"30,050",30.05,30.05,30.05,30.05,X,0.00,29.80,1,30.09,1,0.00
="0061",元大寶滬深,"3,653,385",662,"58,854,757",16.08,16.17,16.02,16.06,－,0.08,16.06,28,16.08,5,0.00
="006203",元大MSCI台灣,"3,000",2,"94,240",31.36,31.44,31.36,31.44,＋,0.20,31.37,8,31.53,8,0.00
="006204",永豐臺灣加權,"65,000",10,"2,874,180",44.30,44.30,44.20,44.23,＋,0.17,44.20,15,44.25,10,0.00
="006205",FB上証,"4,708,150",624,"128,142,805",27.20,27.31,27.11,27.20,－,0.04,27.20,4,27.21,2,0.00
="006206",元大上證50,"1,003,500",219,"25,993,090",25.83,26.03,25.78,25.85,－,0.05,25.85,47,25.89,7,0.00
="006207",FH滬深,"1,218,000",169,"24,914,820",20.41,20.55,20.35,20.42,－,0.05,20.42,98,20.46,35,0.00
="006208",FB台50,"1,000",1,"37,920",37.92,37.92,37.92,37.92,,0.00,38.03,1,38.30,1,0.00
00631L,元大台灣50正2,"10,266,500","1,751","220,305,219",21.36,21.55,21.30,21.52,＋,0.29,21.51,12,21.52,267,0.00
00632R,元大台灣50反1,"179,597,904","19,898","3,187,804,544",17.80,17.82,17.71,17.75,－,0.10,17.74,1065,17.75,3927,0.00
00633L,FB上証正2,"42,880,000","6,468","1,323,722,707",30.76,31.20,30.68,30.85,－,0.19,30.85,86,30.86,257,0.00
00634R,FB上証反1,"4,527,000",425,"45,461,680",10.04,10.08,10.00,10.04,＋,0.03,10.04,139,10.05,420,0.00
00635U,元大S&P黃金,"1,677,000",435,"37,301,720",22.23,22.29,22.17,22.26,－,0.15,22.25,2,22.26,8,0.00
="00636",國泰中國A50,"1,646,000",113,"26,241,390",15.90,16.03,15.89,15.91,－,0.03,15.91,289,15.95,224,0.00
00637L,元大滬深300正2,"69,352,454","6,784","797,964,432",11.47,11.63,11.42,11.49,－,0.07,11.49,3267,11.50,584,0.00
00638R,元大滬深300反1,"748,000",48,"14,135,870",18.89,18.94,18.79,18.89,＋,0.08,18.88,15,18.89,499,0.00
="00639",FB深100,"5,267,000",788,"52,685,770",10.02,10.07,9.96,9.99,－,0.08,9.99,8,10.00,64,0.00
00640L,FB日本正2,"55,607,000","5,270","734,003,100",13.15,13.27,13.07,13.09,＋,0.47,13.09,261,13.10,148,0.00
00641R,FB日本反1,"3,229,000",537,"69,100,480",21.36,21.51,21.32,21.44,－,0.46,21.44,69,21.46,2,0.00
00642U,元大S&P石油,"14,616,035","2,076","265,051,344",18.05,18.19,18.05,18.12,＋,0.02,18.11,95,18.12,35,0.00
="00643",群益深証中小,"5,828,000",854,"90,896,030",15.71,15.77,15.50,15.53,－,0.24,15.53,42,15.55,5,0.00
="00645",FB日本,"1,564,000",158,"25,666,180",16.42,16.47,16.33,16.37,＋,0.35,16.35,3,16.37,35,0.00
="00646",元大S&P500,"308,000",75,"6,276,310",20.38,20.40,20.36,20.36,,0.00,20.36,125,20.37,15,0.00
00647L,元大S&P500正2,"179,000",23,"3,812,690",21.30,21.33,21.27,21.28,－,0.02,21.28,47,21.32,107,0.00
00648R,元大S&P500反1,"2,496,000",589,"46,537,190",18.65,18.67,18.62,18.66,＋,0.02,18.65,51,18.66,676,0.00
="00649",FH香港,"250,000",31,"3,962,520",15.82,15.89,15.82,15.86,＋,0.04,15.86,64,15.88,9,0.00
00650L,FH香港正2,"880,000",133,"15,791,510",17.83,18.04,17.83,17.91,＋,0.08,17.91,79,17.95,22,0.00
00651R,FH香港反1,"276,000",69,"3,601,630",13.10,13.10,13.02,13.06,－,0.07,13.05,13,13.06,55,0.00
