105年07月12日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
03486P,1C群益,"239,000",74,"274,330",1.18,1.18,1.12,1.14,－,0.12,1.14,501,1.15,499,0.00
03487P,1D群益,"538,000",40,"737,590",1.40,1.42,1.32,1.35,－,0.13,1.34,499,1.35,455,0.00
03488P,1E群益,"132,000",16,"209,660",1.65,1.65,1.56,1.59,－,0.14,1.58,499,1.59,489,0.00
03489P,1F群益,"190,000",9,"350,820",1.89,1.89,1.82,1.84,－,0.16,1.84,499,1.85,499,0.00
03490P,1G群益,"1,444,000",41,"3,087,040",2.20,2.20,2.10,2.14,－,0.17,2.13,499,2.14,474,0.00
03491P,1H群益,"364,000",41,"611,800",1.72,1.75,1.64,1.68,－,0.11,1.67,504,1.68,499,0.00
03492P,1L群益,"60,000",2,"23,200",0.39,0.39,0.38,0.38,－,0.05,0.38,500,0.39,499,0.00
03493P,1M群益,0,0,0,--,--,--,--,,0.00,0.39,499,0.40,499,0.00
03494P,1N群益,0,0,0,--,--,--,--,,0.00,0.40,499,0.41,499,0.00
03495P,1S群益,0,0,0,--,--,--,--,,0.00,0.88,499,0.89,499,0.00
03496P,1T群益,0,0,0,--,--,--,--,,0.00,1.22,499,1.23,499,0.00
03497P,1U群益,"25,000",3,"27,800",1.13,1.13,1.10,1.10,－,0.06,1.09,499,1.10,499,0.00
03498P,1Z群益,0,0,0,--,--,--,--,,0.00,1.32,25,1.33,10,0.00
03499P,群益9U,"240,000",9,"89,200",0.40,0.40,0.36,0.37,－,0.06,0.36,499,0.37,499,0.00
03500P,群益9V,"357,000",12,"196,140",0.59,0.59,0.53,0.55,－,0.07,0.54,549,0.55,499,0.00
="035012",8P群益,0,0,0,--,--,--,--,,0.00,0.17,25,0.18,10,20.42
03501P,群益9W,"50,000",2,"16,800",0.34,0.34,0.33,0.33,－,0.04,0.33,499,0.34,499,0.00
03502P,群益9X,"170,000",13,"69,590",0.44,0.44,0.39,0.41,－,0.04,0.40,499,0.41,479,0.00
03503P,群益9Y,"518,000",14,"309,410",0.62,0.62,0.57,0.58,－,0.07,0.57,526,0.58,499,0.00
03504P,群益9Z,"346,000",10,"240,060",0.72,0.72,0.67,0.68,－,0.10,0.68,499,0.69,499,0.00
03505P,台新4Y,0,0,0,--,--,--,--,,0.00,0.53,10,0.54,10,0.00
03506P,玉山N4,0,0,0,--,--,--,--,,0.00,0.18,10,--,0,0.00
03507P,FW富邦,"422,000",11,"322,240",0.78,0.78,0.74,0.77,－,0.07,0.76,10,0.77,10,0.00
="035084",8Z群益,"210,000",5,"104,700",0.49,0.51,0.49,0.49,－,0.02,0.49,25,0.50,10,20.42
03508P,2J群益,0,0,0,--,--,--,--,,0.00,0.48,25,0.49,10,0.00
03509P,2K群益,"3,242,000",114,"3,162,960",1.02,1.02,0.94,0.96,－,0.12,0.96,16,0.97,10,0.00
03510P,GB元富,"50,000",2,"68,250",1.36,1.37,1.36,1.37,＋,0.02,1.40,25,1.41,25,0.00
03511P,GC元富,"7,000",1,"4,760",0.68,0.68,0.68,0.68,－,0.03,0.68,25,0.69,25,0.00
03512P,GD元富,"5,000",1,"5,050",1.01,1.01,1.01,1.01,X,0.00,1.02,25,1.03,25,0.00
="035133",AN統一,0,0,0,--,--,--,--,,0.00,0.01,10,0.02,10,25.85
03513P,BS元大,"73,000",6,"47,450",0.66,0.66,0.64,0.65,－,0.04,0.64,495,0.65,495,0.00
03514P,BT元大,"32,000",5,"31,360",0.98,0.99,0.97,0.98,－,0.07,0.97,495,0.98,493,0.00
03515P,BU元大,"82,000",8,"118,880",1.48,1.49,1.43,1.45,－,0.12,1.44,495,1.45,495,0.00
03516P,BV元大,"266,000",20,"523,130",2.00,2.01,1.93,1.96,－,0.11,1.95,495,1.96,484,0.00
03517P,BW元大,"357,000",18,"113,250",0.33,0.33,0.31,0.31,－,0.04,0.30,496,0.31,405,0.00
03518P,BX元大,"39,000",6,"18,580",0.48,0.48,0.47,0.48,－,0.05,0.47,500,0.48,494,0.00
03519P,BY元大,"1,268,000",22,"899,840",0.73,0.73,0.69,0.70,－,0.07,0.69,495,0.70,471,0.00
03520P,BZ元大,"420,000",4,"227,200",0.55,0.55,0.51,0.51,－,0.06,0.51,100,0.52,100,0.00
03521P,CB元大,"1,000",1,"1,520",1.52,1.52,1.52,1.52,,0.00,1.47,100,1.48,10,0.00
03522P,CF元大,"15,000",2,"34,350",2.29,2.29,2.29,2.29,X,0.00,2.30,100,2.32,10,0.00
03523P,CG元大,"601,000",8,"652,610",1.11,1.11,1.06,1.11,－,0.03,1.11,100,1.13,100,0.00
03524P,CH元大,"21,000",6,"49,710",2.38,2.38,2.29,2.29,－,0.01,2.24,100,2.28,100,0.00
03525P,CI元大,0,0,0,--,--,--,--,,0.00,0.18,100,0.19,100,0.00
03526P,CJ元大,0,0,0,--,--,--,--,,0.00,1.65,100,1.66,10,0.00
03527P,CK元大,0,0,0,--,--,--,--,,0.00,0.35,100,0.36,100,0.00
03528P,GK元富,"3,000",1,"2,760",0.92,0.92,0.92,0.92,－,0.05,0.91,25,0.92,25,0.00
03529P,日盛AQ,0,0,0,--,--,--,--,,0.00,0.41,25,0.42,25,36.50
03530P,1M永豐,0,0,0,--,--,--,--,,0.00,0.27,10,0.28,10,0.00
03531P,CZ元大,"643,000",34,"432,270",0.75,0.75,0.62,0.63,－,0.14,0.62,110,0.63,98,0.00
03532P,DA元大,"140,000",3,"59,600",0.45,0.46,0.39,0.39,－,0.12,0.37,100,0.38,100,0.00
03533P,DB元大,"321,000",2,"153,660",0.48,0.48,0.46,0.46,－,0.11,0.44,100,0.45,100,0.00
03534P,DC元大,0,0,0,--,--,--,--,,0.00,0.12,115,0.13,100,0.00
03535P,DD元大,"298,000",10,"276,060",0.93,0.95,0.92,0.93,－,0.08,0.96,100,0.97,100,0.00
03536P,DE元大,"480,000",21,"893,110",1.87,1.88,1.72,1.72,－,0.18,1.72,100,1.73,100,0.00
03537P,DF元大,0,0,0,--,--,--,--,,0.00,1.91,100,1.94,100,0.00
03538P,統一HE,0,0,0,--,--,--,--,,0.00,1.26,20,1.32,10,0.00
03539P,統一HF,"36,000",3,"5,710",0.15,0.16,0.15,0.16,－,0.10,0.16,20,0.17,20,0.00
03540P,2N群益,"555,000",8,"494,350",0.93,0.93,0.83,0.83,－,0.17,0.83,25,0.84,10,0.00
03541P,KC國泰,0,0,0,--,--,--,--,,0.00,0.33,499,0.34,100,0.00
03542P,GB富邦,"586,000",26,"324,700",0.57,0.59,0.53,0.53,－,0.11,0.53,31,0.55,10,0.00
03543P,兆豐7D,"160,000",11,"28,410",0.19,0.19,0.15,0.15,－,0.08,0.14,10,0.15,10,0.00
03544P,統一HM,"672,000",31,"331,420",0.51,0.53,0.46,0.46,－,0.05,0.46,73,0.47,68,0.00
03545P,統一HN,"398,000",16,"129,970",0.35,0.35,0.32,0.32,－,0.06,0.32,10,0.34,10,0.00
03546P,中信70,"150,000",4,"45,900",0.31,0.31,0.27,0.27,－,0.08,0.24,30,0.25,30,0.00
03547P,中信71,0,0,0,--,--,--,--,,0.00,0.27,30,0.28,30,0.00
03548P,中信72,"214,000",12,"63,190",0.32,0.32,0.27,0.28,－,0.10,0.27,30,0.28,30,0.00
03549P,2R群益,"601,000",14,"509,670",0.90,0.90,0.79,0.80,－,0.06,0.78,25,0.79,10,0.00
03550P,2S群益,"340,000",4,"513,880",1.49,1.53,1.49,1.53,＋,0.01,1.52,25,1.53,10,0.00
="035519",國泰92,0,0,0,--,--,--,--,,0.00,--,0,0.01,20,20.42
03551P,日盛AS,"1,424,000",30,"171,030",0.11,0.13,0.11,0.12,－,0.01,0.11,309,0.12,25,171.00
03552P,日盛AT,0,0,0,--,--,--,--,,0.00,0.66,2,0.75,10,101.50
03553P,凱基ES,"113,000",4,"90,600",0.82,0.84,0.71,0.71,－,0.15,0.71,31,0.72,30,0.00
03554P,凱基ET,"710,000",9,"332,000",0.48,0.49,0.44,0.45,－,0.10,0.45,30,0.46,30,0.00
03555P,凱基EU,"78,000",3,"46,360",0.60,0.62,0.59,0.62,＋,0.05,0.60,30,0.61,30,0.00
03556P,凱基EV,"2,027,000",47,"679,500",0.36,0.37,0.30,0.31,－,0.03,0.30,20,0.33,40,0.00
="035579",群益E5,0,0,0,--,--,--,--,,0.00,--,0,0.01,149,20.42
03557P,凱基EW,"200,000",2,"106,000",0.53,0.53,0.53,0.53,X,0.00,0.53,30,0.54,30,0.00
03558P,GS元富,"5,000",2,750,0.15,0.15,0.15,0.15,－,0.01,0.15,25,0.16,25,0.00
03559P,GT元富,"202,000",16,"263,650",1.34,1.36,1.18,1.18,－,0.09,1.19,25,1.20,25,0.00
03560P,GU元富,0,0,0,--,--,--,--,,0.00,2.36,25,2.40,10,0.00
03561P,GV元富,"11,000",2,"7,050",0.64,0.65,0.64,0.65,X,0.00,0.64,25,0.65,25,0.00
03562P,GW元富,"100,000",1,"64,000",0.64,0.64,0.64,0.64,－,0.01,0.65,25,0.66,25,0.00
03563P,GG富邦,"5,000",2,"1,680",0.36,0.36,0.33,0.33,,0.00,0.30,30,0.34,10,0.00
03564P,GH富邦,"30,000",3,"12,550",0.45,0.46,0.40,0.40,－,0.03,0.38,30,0.40,30,0.00
03565P,DT元大,"309,000",7,"220,700",0.74,0.76,0.68,0.68,－,0.15,0.69,100,0.70,100,0.00
03566P,凱基FH,0,0,0,--,--,--,--,,0.00,0.20,30,0.21,30,0.00
03567P,2W群益,"2,027,000",24,"1,088,000",0.56,0.58,0.49,0.49,－,0.05,0.48,25,0.49,10,0.00
03568P,2X群益,"841,000",27,"311,600",0.39,0.40,0.35,0.35,－,0.03,0.35,25,0.36,30,0.00
03569P,2Y群益,0,0,0,--,--,--,--,,0.00,2.79,25,2.83,10,0.00
03570P,1V永豐,"10,000",4,"3,720",0.35,0.40,0.35,0.40,＋,0.22,0.42,10,0.43,10,0.00
03571P,HB元富,"208,000",3,"115,000",0.61,0.61,0.55,0.55,－,0.05,0.54,25,0.55,25,0.00
03572P,HC元富,0,0,0,--,--,--,--,,0.00,0.14,25,0.15,25,0.00
03573P,HD元富,0,0,0,--,--,--,--,,0.00,1.90,25,1.94,25,0.00
03574P,HE元富,"209,000",5,"231,640",1.11,1.12,0.96,0.96,－,0.17,0.95,25,0.96,25,0.00
03575P,GL富邦,0,0,0,--,--,--,--,,0.00,0.38,10,0.39,10,0.00
03576P,ER元大,"30,000",1,"24,300",0.81,0.81,0.81,0.81,－,0.04,0.81,495,0.82,495,0.00
03577P,ES元大,"1,000",1,"1,000",1.00,1.00,1.00,1.00,－,0.03,0.99,496,1.00,494,0.00
03578P,ET元大,0,0,0,--,--,--,--,,0.00,0.33,495,0.34,495,0.00
03579P,EU元大,0,0,0,--,--,--,--,,0.00,0.50,495,0.51,495,0.00
03580P,EV元大,"972,000",17,"566,210",0.53,0.61,0.52,0.61,＋,0.06,0.60,100,0.61,100,0.00
03581P,EW元大,"954,000",21,"581,770",0.65,0.66,0.57,0.57,－,0.05,0.56,100,0.57,54,0.00
03582P,兆豐7H,0,0,0,--,--,--,--,,0.00,0.62,10,0.63,10,0.00
03583P,中信75,"230,000",3,"147,900",0.64,0.67,0.64,0.67,－,0.02,0.68,30,0.69,30,0.00
03584P,台新5F,"1,000",1,870,0.87,0.87,0.87,0.87,X,0.00,0.89,10,0.90,10,0.00
03585P,凱基FX,"430,000",4,"327,100",0.75,0.77,0.75,0.77,＋,0.06,0.76,30,0.78,30,0.00
03586P,凱基GF,"70,000",1,"129,500",1.85,1.85,1.85,1.85,＋,0.09,1.85,30,1.87,30,0.00
03587P,HK元富,"7,000",1,"7,980",1.14,1.14,1.14,1.14,X,0.00,1.13,25,1.14,25,0.00
03588P,HL元富,"170,000",3,"93,900",0.56,0.56,0.52,0.52,－,0.03,0.49,25,0.50,25,0.00
03589P,HM元富,0,0,0,--,--,--,--,,0.00,0.19,25,0.20,25,0.00
03590P,康和EZ,"46,000",6,"9,230",0.23,0.23,0.20,0.20,－,0.02,0.18,10,--,0,0.00
03591P,康和FA,"130,000",1,"55,900",0.43,0.43,0.43,0.43,X,0.00,0.44,10,0.46,10,0.00
03592P,3N群益,0,0,0,--,--,--,--,,0.00,0.43,25,0.44,10,0.00
03593P,3P群益,"104,000",2,"41,500",0.40,0.40,0.39,0.39,－,0.02,0.38,25,0.39,10,0.00
03594P,3Q群益,"5,000",1,"5,050",1.01,1.01,1.01,1.01,－,0.06,0.98,25,0.99,10,0.00
03595P,FG元大,"766,000",14,"489,240",0.68,0.68,0.59,0.59,－,0.07,0.58,100,0.59,100,0.00
03596P,FH元大,"576,000",27,"449,720",0.81,0.81,0.72,0.72,－,0.07,0.72,100,0.73,100,0.00
03597P,2B永豐,"127,000",4,"201,630",1.59,1.59,1.56,1.56,－,0.11,1.57,10,1.58,10,0.00
03598P,2C永豐,"611,000",14,"596,390",1.04,1.04,0.94,0.94,－,0.15,0.94,10,0.95,10,0.00
03599P,HR元富,0,0,0,--,--,--,--,,0.00,1.77,25,1.78,25,0.00
03600P,HS元富,"514,000",6,"319,790",0.59,0.67,0.59,0.67,＋,0.05,0.66,25,0.67,25,0.00
03601P,HT元富,"20,000",2,"12,000",0.60,0.60,0.60,0.60,－,0.04,0.61,25,0.62,25,0.00
03602P,3V群益,0,0,0,--,--,--,--,,0.00,0.49,25,0.50,10,0.00
03603P,3W群益,0,0,0,--,--,--,--,,0.00,0.88,25,0.89,10,0.00
03604P,3X群益,"51,000",6,"76,710",1.61,1.61,1.47,1.47,－,0.23,1.43,25,1.44,10,0.00
03605P,3Y群益,"117,000",4,"193,800",1.66,1.67,1.65,1.67,X,0.00,1.68,25,1.69,10,0.00
03606P,3Z群益,"389,000",8,"1,031,620",2.62,2.70,2.62,2.70,＋,0.18,2.64,25,2.65,10,0.00
03607P,FS元大,"40,000",1,"2,000",0.05,0.05,0.05,0.05,,0.00,0.05,359,0.06,10,0.00
03608P,FT元大,"792,000",17,"518,120",0.67,0.67,0.65,0.65,－,0.04,0.64,100,0.65,75,0.00
03609P,FU元大,"197,000",7,"184,010",0.96,0.97,0.80,0.81,－,0.18,0.80,100,0.81,50,0.00
03610P,FV元大,"7,000",2,"1,120",0.16,0.16,0.16,0.16,－,0.03,0.16,100,0.17,100,0.00
03611P,FW元大,"1,068,000",30,"499,210",0.48,0.53,0.41,0.41,－,0.08,0.41,176,0.42,100,0.00
03612P,FX元大,"769,000",16,"404,380",0.57,0.57,0.48,0.48,－,0.05,0.47,100,0.48,110,0.00
03613P,KQ國泰,"1,070,000",39,"1,272,990",1.20,1.25,1.15,1.24,＋,0.01,1.22,420,1.23,100,0.00
03614P,KR國泰,0,0,0,--,--,--,--,,0.00,2.70,180,2.76,10,0.00
03615P,KS國泰,"200,000",2,"345,000",1.72,1.73,1.72,1.73,－,0.04,1.73,100,1.79,10,0.00
03616P,GS富邦,0,0,0,--,--,--,--,,0.00,1.38,14,1.41,11,0.00
03617P,GK元大,"258,000",2,"208,980",0.81,0.81,0.81,0.81,－,0.01,0.79,100,0.80,100,0.00
03618P,GR元大,"11,000",3,"8,920",0.82,0.82,0.81,0.81,－,0.01,0.81,100,0.82,50,0.00
03619P,凱基GH,0,0,0,--,--,--,--,,0.00,0.29,30,0.30,30,0.00
03620P,HZ元富,"356,000",2,"354,730",0.98,1.03,0.98,1.03,＋,0.02,1.02,25,1.03,25,0.00
03621P,JA元富,0,0,0,--,--,--,--,,0.00,0.89,25,0.90,10,0.00
03622P,康和FB,0,0,0,--,--,--,--,,0.00,0.55,10,0.56,10,0.00
03623P,中信77,"125,000",9,"53,200",0.42,0.45,0.42,0.42,－,0.03,0.41,10,0.43,10,0.00
03624P,2I永豐,"236,000",3,"137,410",0.62,0.62,0.55,0.55,－,0.01,0.53,10,0.54,10,0.00
03625P,2J永豐,"253,000",7,"215,710",0.85,0.87,0.83,0.87,－,0.01,0.86,10,0.87,10,0.00
03626P,2K永豐,0,0,0,--,--,--,--,,0.00,0.62,10,0.63,10,0.00
="036276",國泰2H,0,0,0,--,--,--,--,,0.00,1.88,270,--,0,71.60
03627P,4F群益,"324,000",3,"267,670",0.82,0.83,0.82,0.83,－,0.01,0.86,25,0.88,10,0.00
03628P,4G群益,"1,101,000",6,"377,740",0.37,0.37,0.31,0.31,－,0.13,0.31,45,0.32,10,0.00
03629P,玉山24,0,0,0,--,--,--,--,,0.00,0.45,33,0.46,33,0.00
03630P,KT國泰,0,0,0,--,--,--,--,,0.00,0.21,499,0.22,100,0.00
03631P,KU國泰,0,0,0,--,--,--,--,,0.00,3.15,180,--,0,0.00
03632P,GT元大,"305,000",5,"89,700",0.29,0.32,0.29,0.32,＋,0.03,0.32,100,0.33,100,0.00
03633P,GU元大,"248,000",11,"239,760",1.00,1.02,0.88,0.88,－,0.16,0.88,100,0.89,100,0.00
03634P,GV元大,"175,000",8,"169,100",0.95,0.98,0.95,0.97,＋,0.01,0.96,100,0.97,50,0.00
03635P,JF元富,"63,000",6,"90,680",1.51,1.51,1.41,1.43,－,0.16,1.43,25,1.44,25,0.00
03636P,JH元富,0,0,0,--,--,--,--,,0.00,0.61,25,0.62,25,0.00
03637P,4P群益,0,0,0,--,--,--,--,,0.00,0.78,25,0.79,10,0.00
03638P,4Q群益,0,0,0,--,--,--,--,,0.00,0.71,25,0.72,10,0.00
03639P,4R群益,"100,000",2,"46,500",0.47,0.47,0.46,0.46,X,0.00,0.46,25,0.47,10,0.00
03640P,凱基GR,"420,000",10,"1,174,550",2.71,2.88,2.71,2.86,＋,0.20,2.85,30,2.88,30,0.00
03641P,凱基GS,"21,000",6,"29,050",1.40,1.40,1.37,1.40,＋,0.01,1.38,30,1.39,30,0.00
03642P,凱基HC,"62,000",4,"28,420",0.46,0.46,0.45,0.46,－,0.03,0.46,30,0.47,30,0.00
03643P,3B永豐,"89,000",4,"120,360",1.34,1.36,1.32,1.32,－,0.14,1.27,10,1.28,10,0.00
03644P,4W群益,0,0,0,--,--,--,--,,0.00,1.33,25,1.34,10,0.00
03645P,4Y群益,0,0,0,--,--,--,--,,0.00,1.48,25,1.49,10,0.00
03646P,4Z群益,0,0,0,--,--,--,--,,0.00,1.48,25,1.49,10,0.00
03647P,5A群益,"5,000",1,"10,350",2.07,2.07,2.07,2.07,－,0.01,1.99,25,2.00,10,0.00
03648P,GX元大,"814,000",15,"1,126,350",1.53,1.54,1.32,1.32,－,0.25,1.30,100,1.31,100,0.00
03649P,GY元大,"462,000",5,"440,080",0.95,0.97,0.82,0.82,－,0.14,0.82,60,0.83,10,0.00
03650P,JR元富,"40,000",1,"28,000",0.70,0.70,0.70,0.70,－,0.02,0.71,25,0.72,25,0.00
03651P,JS元富,"414,000",49,"193,410",0.50,0.51,0.42,0.43,－,0.06,0.42,25,0.43,25,0.00
03652P,JT元富,"138,000",2,"99,080",0.71,0.72,0.71,0.72,－,0.01,0.73,25,0.74,25,0.00
03653P,HW富邦,"181,000",8,"30,680",0.16,0.18,0.16,0.18,,0.00,0.17,11,0.18,19,0.00
03654P,HX富邦,"3,000",1,"1,620",0.54,0.54,0.54,0.54,－,0.04,0.53,200,0.54,200,0.00
03655P,HG元大,0,0,0,--,--,--,--,,0.00,0.74,100,0.75,100,0.00
03656P,凱基HG,0,0,0,--,--,--,--,,0.00,1.46,30,1.48,30,0.00
03657P,JW元富,"10,000",1,"5,800",0.58,0.58,0.58,0.58,－,0.01,0.58,25,0.59,25,0.00
03658P,JX元富,0,0,0,--,--,--,--,,0.00,0.65,25,0.66,25,0.00
03659P,中信79,"374,000",12,"150,690",0.39,0.41,0.39,0.39,－,0.06,0.38,40,0.39,10,0.00
03660P,中信80,"554,000",16,"201,540",0.34,0.38,0.34,0.37,－,0.03,0.34,50,0.35,30,0.00
03661P,台新5N,"34,000",7,"15,160",0.49,0.49,0.41,0.41,X,0.00,0.41,10,0.42,10,0.00
03662P,統一JD,"70,000",3,"14,050",0.20,0.21,0.20,0.21,,0.00,0.20,113,0.21,108,0.00
03663P,統一JE,"10,000",1,"8,800",0.88,0.88,0.88,0.88,X,0.00,0.79,10,0.82,10,0.00
03664P,統一JF,"554,000",17,"140,430",0.29,0.29,0.23,0.25,－,0.01,0.23,20,0.25,13,0.00
03665P,日盛BK,"377,000",14,"282,030",0.76,0.76,0.73,0.74,－,0.05,0.73,25,0.74,25,0.00
03666P,5E群益,0,0,0,--,--,--,--,,0.00,0.34,25,0.35,10,0.00
03667P,5F群益,"54,000",1,"45,900",0.85,0.85,0.85,0.85,－,0.08,0.79,25,0.80,10,0.00
03668P,5G群益,"185,000",5,"80,500",0.42,0.44,0.42,0.44,－,0.01,0.43,25,0.44,10,0.00
03669P,5H群益,0,0,0,--,--,--,--,,0.00,0.94,25,0.95,10,0.00
03670P,兆豐7Y,0,0,0,--,--,--,--,,0.00,2.13,10,2.16,10,0.00
03671P,兆豐8F,0,0,0,--,--,--,--,,0.00,1.47,10,1.48,10,0.00
="036722",LB第一,0,0,0,--,--,--,--,,0.00,4.09,10,--,0,101.50
03672P,兆豐8G,"120,000",9,"183,090",1.59,1.59,1.42,1.46,－,0.19,1.45,10,1.46,10,0.00
03673P,兆豐8S,"316,000",7,"267,720",0.83,0.87,0.82,0.87,,0.00,0.86,10,0.87,10,0.00
03674P,兆豐8T,0,0,0,--,--,--,--,,0.00,0.24,10,0.25,10,0.00
03675P,兆豐8U,"70,000",2,"65,800",0.94,0.94,0.94,0.94,－,0.06,0.96,10,0.97,10,0.00
03676P,LA國泰,"140,000",4,"145,400",1.02,1.04,1.02,1.04,X,0.00,1.05,490,1.06,100,0.00
03677P,LB國泰,0,0,0,--,--,--,--,,0.00,1.11,499,1.12,100,0.00
03678P,LC國泰,"207,000",11,"208,620",1.04,1.06,0.98,0.99,－,0.19,0.99,410,1.00,100,0.00
03679P,JL富邦,0,0,0,--,--,--,--,,0.00,1.03,14,1.06,11,0.00
03680P,JM富邦,"314,000",18,"395,530",1.30,1.31,1.10,1.10,－,0.24,1.09,12,1.10,14,0.00
03681P,JN富邦,0,0,0,--,--,--,--,,0.00,0.26,22,0.27,22,0.00
03682P,JP富邦,"608,000",18,"132,680",0.20,0.25,0.19,0.25,＋,0.02,0.25,22,0.26,23,0.00
03683P,KM元富,"24,000",2,"23,300",0.97,0.98,0.97,0.98,－,0.02,0.97,25,0.98,25,0.00
03684P,康和FD,0,0,0,--,--,--,--,,0.00,0.79,10,0.81,10,0.00
03685P,5N群益,0,0,0,--,--,--,--,,0.00,1.11,25,1.12,10,0.00
03686P,5P群益,0,0,0,--,--,--,--,,0.00,1.30,25,1.31,10,0.00
03687P,5Q群益,"141,000",3,"101,520",0.72,0.72,0.72,0.72,X,0.00,0.68,25,0.69,10,0.00
="036882",LJ第一,"24,000",8,"78,220",2.83,3.80,2.83,3.80,X,0.00,3.69,10,3.70,10,"3,180.00"
03688P,5R群益,"101,000",1,"98,980",0.98,0.98,0.98,0.98,－,0.03,0.98,25,0.99,10,0.00
03689P,5S群益,0,0,0,--,--,--,--,,0.00,1.23,25,1.24,10,0.00
03690P,玉山25,0,0,0,--,--,--,--,,0.00,0.67,33,0.68,33,0.00
03691P,玉山26,0,0,0,--,--,--,--,,0.00,0.80,13,0.81,13,0.00
03692P,JW富邦,"30,000",4,"5,440",0.20,0.20,0.18,0.18,－,0.03,0.18,10,0.19,10,0.00
03693P,JX富邦,0,0,0,--,--,--,--,,0.00,0.47,15,0.48,15,0.00
03694P,凱基JE,0,0,0,--,--,--,--,,0.00,0.50,30,0.51,30,0.00
03695P,兆豐9A,"77,000",5,"23,680",0.29,0.31,0.29,0.31,－,0.01,0.29,10,0.30,30,0.00
03696P,兆豐9B,"43,000",3,"44,190",1.02,1.03,1.02,1.03,－,0.04,1.01,10,1.02,10,0.00
03697P,兆豐9J,"10,000",1,"9,500",0.95,0.95,0.95,0.95,X,0.00,0.95,10,0.96,10,0.00
03698P,康和FG,0,0,0,--,--,--,--,,0.00,0.71,10,0.73,10,0.00
03699P,4J永豐,0,0,0,--,--,--,--,,0.00,0.38,10,0.39,10,0.00
03700P,凱基JH,"7,000",2,"3,200",0.46,0.46,0.45,0.45,X,0.00,0.45,30,0.46,30,0.00
03701P,康和FJ,0,0,0,--,--,--,--,,0.00,0.39,10,0.40,10,0.00
03702P,統一JR,"215,000",15,"148,230",0.67,0.70,0.67,0.70,－,0.01,0.70,10,0.71,10,0.00
03703P,國票MX,"20,000",1,"7,600",0.38,0.38,0.38,0.38,X,0.00,0.38,280,0.39,50,0.00
03704P,KL富邦,"300,000",3,"234,000",0.78,0.78,0.78,0.78,－,0.03,0.78,13,0.79,10,0.00
03705P,6H群益,"251,000",5,"127,310",0.51,0.51,0.44,0.44,－,0.01,0.42,25,0.43,10,0.00
03706P,6J群益,"205,000",4,"221,000",1.08,1.08,1.07,1.07,－,0.05,1.08,25,1.09,10,0.00
03707P,6L群益,"1,000",1,760,0.76,0.76,0.76,0.76,－,0.04,0.67,25,0.68,10,0.00
03708P,6M群益,"323,000",13,"364,050",1.15,1.15,1.08,1.08,＋,0.10,1.03,25,1.13,10,0.00
03709P,6N群益,"85,000",3,"77,000",0.88,0.94,0.80,0.80,＋,0.05,0.79,25,0.85,10,0.00
03710P,6P群益,0,0,0,--,--,--,--,,0.00,0.96,25,0.97,10,0.00
03711P,6Q群益,"398,000",4,"511,850",1.27,1.30,1.27,1.30,,0.00,1.29,25,1.30,10,0.00
03712P,台新5X,"64,000",1,"106,240",1.66,1.66,1.66,1.66,－,0.03,1.42,10,1.43,10,0.00
03713P,台新5Z,"10,000",1,"7,300",0.73,0.73,0.73,0.73,X,0.00,0.73,10,0.76,10,0.00
03714P,台新6A,"10,000",1,"12,000",1.20,1.20,1.20,1.20,X,0.00,1.20,10,1.22,10,0.00
03715P,國票MZ,0,0,0,--,--,--,--,,0.00,1.26,100,1.27,10,0.00
03716P,LH元富,"1,044,000",22,"242,220",0.27,0.27,0.20,0.21,－,0.09,0.21,5,0.24,25,0.00
03717P,LJ元富,"582,000",33,"638,270",1.12,1.12,1.07,1.07,－,0.04,1.07,6,1.08,25,0.00
03718P,LK元富,"40,000",1,"14,000",0.35,0.35,0.35,0.35,X,0.00,0.32,25,0.33,25,0.00
03719P,LL元富,0,0,0,--,--,--,--,,0.00,0.34,25,0.35,25,0.00
03720P,凱基JN,"771,000",13,"831,840",1.10,1.10,1.05,1.09,－,0.06,1.10,30,1.11,30,0.00
03721P,凱基JP,"20,000",1,"5,800",0.29,0.29,0.29,0.29,,0.00,0.28,30,0.29,30,0.00
03722P,凱基JQ,"260,000",4,"114,400",0.44,0.45,0.43,0.43,－,0.05,0.43,30,0.44,30,0.00
03723P,凱基JS,"1,229,000",29,"684,770",0.61,0.61,0.50,0.51,－,0.06,0.50,30,0.51,29,0.00
03724P,7B群益,0,0,0,--,--,--,--,,0.00,1.32,25,1.34,10,0.00
03725P,台新6F,0,0,0,--,--,--,--,,0.00,0.24,10,0.25,10,0.00
03726P,4U永豐,"410,000",3,"179,200",0.46,0.46,0.42,0.42,X,0.00,0.40,10,0.41,10,0.00
03727P,4V永豐,"77,000",2,"19,650",0.26,0.26,0.25,0.25,X,0.00,0.23,10,0.24,10,0.00
03728P,IN元大,"27,000",1,"16,470",0.61,0.61,0.61,0.61,＋,0.01,0.62,100,0.63,100,0.00
03729P,IP元大,"102,000",2,"52,020",0.51,0.51,0.51,0.51,－,0.02,0.48,100,0.49,100,0.00
03730P,IQ元大,"35,000",3,"55,550",1.63,1.63,1.58,1.58,－,0.09,1.55,104,1.56,20,0.00
03731P,IR元大,"454,000",14,"529,370",1.25,1.26,1.02,1.02,－,0.27,1.01,150,1.02,50,0.00
