symbol_id	symbol_name
'2459'	'敦吉'
'2461'	'光群雷'
'2462'	'良得'
'2464'	'盟立'
'2468'	'華經'
'2471'	'資通'
'2472'	'立隆'
'2474'	'可成'
'2476'	'鉅祥'
'2477'	'美隆電'
'2478'	'大毅'
'2480'	'敦陽科'
'2481'	'強茂'
'2482'	'連宇'
'2483'	'百容'
'2484'	'希華'
'2485'	'兆赫'
'2488'	'漢平'
'2489'	'瑞軒'
'2492'	'華新科'
'2493'	'揚博'
'2495'	'普安'
'2497'	'怡利電'
'2499'	'東貝'
'2504'	'國產'
'2505'	'國揚'
'2506'	'太設'
'2509'	'全坤興'
'2511'	'太子'
'2514'	'龍邦'
'2515'	'中工'
'2516'	'新建'
'2520'	'冠德'
'2527'	'宏璟'
'2530'	'華建'
'2534'	'宏盛'
'2535'	'達欣工'
'2536'	'宏普'
'2537'	'聯上發'
'2538'	'基泰'
'2539'	'櫻花建'
'2542'	'興富發'
'2543'	'皇昌'
'2545'	'皇翔'
'2546'	'根基'
'2548'	'華固'
'2596'	'綠意'
'2597'	'潤弘'
'2605'	'新興'
'2606'	'裕民'
'2607'	'榮運'
'2608'	'大榮'
'2610'	'華航'
'2611'	'志信'
'2612'	'中航'
'2613'	'中櫃'
'2615'	'萬海'
'2616'	'山隆'
'2617'	'台航'
'2618'	'長榮航'
'2634'	'漢翔'
'2636'	'台驊'
'2637'	'F-慧洋'
'2640'	'大車隊'
'2641'	'正德'
'2642'	'宅配通'
'2643'	'捷迅'
'2701'	'萬企'
'2702'	'華園'
'2704'	'國賓'
'2705'	'六福'
'2706'	'第一店'
'2707'	'晶華'
'2712'	'悅來'
'2718'	'晶悅'
'2722'	'夏都'
'2723'	'F-美食'
'2726'	'F-雅茗'
'2727'	'王品'
'2729'	'瓦城'
'2731'	'雄獅'
'2732'	'六角'
'2734'	'易飛網'
'2736'	'高野'
'2739'	'寒舍'
'2740'	'天蔥'
'2801'	'彰銀'
'2809'	'京城銀'
'2812'	'台中銀'
'2816'	'旺旺保'
'2820'	'華票'
'2823'	'中壽'
'2832'	'台產'
'2834'	'台企銀'
'2836'	'高雄銀'
'2838'	'聯邦銀'
'2841'	'台開'
'2845'	'遠東銀'
'2849'	'安泰銀'
'2850'	'新產'
'2851'	'中再保'
'2855'	'統一證'
'2856'	'元富證'
'2867'	'三商壽'
'2880'	'華南金'
'2881'	'富邦金'
'2882'	'國泰金'
'2883'	'開發金'
'2884'	'玉山金'
'2885'	'元大金'
'2886'	'兆豐金'
'2887'	'台新金'
'2889'	'國票金'
'2890'	'永豐金'
'2891'	'中信金'
'2892'	'第一金'
'2901'	'欣欣'
'2903'	'遠東百'
'2904'	'匯僑'
'2905'	'三商行'
'2906'	'高林'
'2908'	'特力'
'2912'	'統一超'
'2913'	'農林'
'2915'	'潤泰全'
'2916'	'滿心'
'2923'	'F-鼎固'
'2924'	'F-東凌'
'2926'	'誠生'
'2928'	'F-紅馬'
'2929'	'F-淘帝'
'3002'	'歐格'
'3003'	'健和興'
'3004'	'豐達'
'3005'	'神基'
'3006'	'晶豪科'
'3008'	'大立光'
'3010'	'華立'
'3013'	'晟銘'
'3014'	'聯陽'
'3015'	'全漢'
'3017'	'奇鋐'
'3022'	'威強電'
'3023'	'信邦'
'3026'	'禾伸堂'
'3027'	'盛達'
'3028'	'增你強'
'3029'	'零壹'
'3030'	'德律'
'3031'	'佰鴻'
'3032'	'偉訓'
'3033'	'威健'
'3034'	'聯詠'
'3035'	'智原'
'3036'	'文曄'
'3037'	'欣興'
'3038'	'全台'
'3040'	'遠見'
'3042'	'晶技'
'3044'	'健鼎'
'3045'	'台灣大'
'3047'	'訊舟'
'3048'	'益登'
'3050'	'鈺德'
'3052'	'夆典'
'3055'	'蔚華科'
'3056'	'總太'
'3057'	'喬鼎'
'3058'	'立德'
'3059'	'華晶'
'3060'	'銘異'
'3062'	'建漢'
'3068'	'美磊'
'3078'	'僑威'
'3081'	'聯亞'
'3088'	'艾訊'
'3090'	'日電貿'
'3092'	'鴻碩'
'3093'	'港建'
'3094'	'聯傑'
'3105'	'穩懋'
'3114'	'好德'
'3118'	'進階'
'3122'	'笙泉'
'3130'	'一零四'
'3131'	'弘塑'
'3141'	'晶宏'
'3144'	'新揚科'
'3152'	'璟德'
'3167'	'大量'
'3169'	'亞信'
'3189'	'景碩'
'3205'	'佰研'
'3206'	'志豐'
'3209'	'全科'
'3211'	'順達'
'3213'	'茂訊'
'3217'	'優群'
'3218'	'大學光'
'3221'	'台嘉碩'
'3226'	'至寶電'
'3227'	'原相'
'3231'	'緯創'
'3232'	'昱捷'
'3234'	'光環'
'3236'	'千如'
'3257'	'虹冠電'
'3260'	'威剛'
'3264'	'欣銓'
'3265'	'台星科'
'3272'	'東碩'
'3276'	'宇環'
'3284'	'太普高'
'3285'	'微端'
'3289'	'宜特'
'3290'	'東浦'
'3291'	'遠翔科'
'3293'	'鈊象'
'3294'	'英濟'
'3296'	'勝德'
'3297'	'杭特'
'3299'	'帛漢'
'3303'	'岱稜'
'3305'	'昇貿'
'3306'	'鼎天'
'3310'	'佳穎'
'3311'	'閎暉'
'3315'	'宣昶'
'3321'	'同泰'
'3323'	'加百裕'
'3324'	'雙鴻'
'3325'	'旭品'
'3332'	'幸康'
'3338'	'泰碩'
'3354'	'律勝'
'3356'	'奇偶'
'3360'	'尚立'
'3373'	'熱映'
'3374'	'精材'
'3376'	'新日興'
'3380'	'明泰'
'3388'	'崇越電'
'3390'	'旭軟'
'3402'	'漢科'
'3413'	'京鼎'
'3416'	'融程電'
'3428'	'光燿科'
'3432'	'台端'
'3434'	'哲固'
'3437'	'榮創'
'3438'	'類比科'
'3443'	'創意'
'3444'	'利機'
'3450'	'聯鈞'
'3454'	'晶睿'
'3455'	'由田'
'3466'	'致振'
'3479'	'安勤'
'3481'	'群創'
'3483'	'力致'
'3484'	'崧騰'
'3490'	'單井'
'3491'	'昇達科'
'3492'	'長盛'
'3498'	'陽程'
'3501'	'維熹'
'3504'	'揚明光'
'3511'	'矽瑪'
'3515'	'華擎'
'3518'	'柏騰'
'3526'	'凡甲'
'3527'	'聚積'
'3528'	'安馳'
'3529'	'力旺'
'3531'	'先益'
'3532'	'台勝科'
'3533'	'嘉澤'
'3537'	'堡達'
'3540'	'曜越'
'3541'	'西柏'
'3545'	'敦泰'
'3548'	'兆利'
